employee_id,email,phone_number,address,city,postal_code
1,joshua72@example.com,(455)895-0919,"9197 Marie Lock Suite 232, Robertview, FM 53461",New York,58785
2,lsampson@example.org,001-659-235-5458x7926,"Unit 8853 Box 5497, DPO AA 10168",Paris,20223
3,varroyo@example.com,+1-479-430-6517x86327,"552 Drew Path Apt. 514, West Kelly, GA 91162",Warsaw,51807
4,sawyerwilliam@example.com,+1-258-249-3847x27221,"971 Christopher Shore Apt. 838, New Annahaven, MT 81229",Rome,66177
5,williamayala@example.net,237.513.0365,"09181 Samantha Hill Apt. 240, Greenbury, NJ 54069",Paris,94050
6,nfuentes@example.com,+1-668-827-5767x209,"Unit 1748 Box 2986, DPO AA 91357",Berlin,31225
7,wprice@example.net,693-428-2270,"USS Noble, FPO AA 09546",Paris,52765
8,ufletcher@example.com,3263240979,"29480 Cameron Tunnel, Port Dianeside, AK 01482",Paris,51588
9,ydixon@example.net,(680)536-4552x6853,"95186 William Court Suite 693, Toddside, MI 91800",Paris,33528
10,eugenehuerta@example.net,(873)823-3142x6882,"58511 Alexander Forges, East Brandonville, NJ 22238",Warsaw,82268
11,jacob17@example.org,249.589.3449,"1898 Ian Parkway Apt. 028, Port Travis, NM 45723",London,75997
12,stevenpena@example.org,+1-645-627-2901x0455,"4294 Benjamin Lodge, Danielport, ID 27173",Berlin,97002
13,joshua84@example.com,302.743.5880x04365,"630 Jennifer Spur, Lake Justinshire, OK 33823",New York,66735
14,jimenezcathy@example.com,(288)225-8477x03981,"529 Cortez Bypass, New Jenny, FM 21401",London,77568
15,fosterjustin@example.net,434-921-0795x78846,"560 Jennifer Court Suite 197, Port Mariaborough, AR 91748",Warsaw,09671
16,rushmichelle@example.com,+1-841-270-8837x466,"190 Scott Burg, East Jennifer, MA 96667",Berlin,82368
17,phillip97@example.org,(870)543-9560x301,"1649 Perez Harbor, Lake Ginaborough, AK 32345",Rome,26855
18,tmitchell@example.com,926.604.9961,"0244 Wayne Manors Apt. 758, Richardshire, OK 11924",Warsaw,81910
19,wellskevin@example.net,+1-474-325-5496x06527,"22339 Smith Throughway, Timberg, PR 79601",Warsaw,00505
