id,first_name,last_name,salary,birthday,hire_date,department,position
1,Wesley,Burgess,6028.64,1978-07-05,2018-07-06,IT,DevOps Engineer
2,Carolyn,Jennings,8181.37,1949-05-23,2024-11-11,IT,Network Administrator
3,Barbara,Vasquez,6804.13,1994-07-16,2023-01-02,Sales,Sales Executive
4,Cheryl,Alvarado,5499.08,1981-05-24,2016-06-13,Marketing,SEO Analyst
5,David,Hubbard,5987.86,2001-05-23,2016-03-07,Legal,Legal Advisor
6,Nicholas,Jones,8689.8,1963-09-10,2023-10-29,Marketing,Social Media Manager
7,Thomas,Rodriguez,8348.63,1973-06-20,2024-08-25,Finance,Financial Analyst
8,Donald,Long,8067.14,1996-01-08,2016-01-13,Sales,Account Manager
9,Melissa,Rivera,5001.53,1950-02-17,2024-07-07,Marketing,Social Media Manager
10,Emily,Smith,7901.26,1984-09-24,2018-05-10,Finance,Financial Analyst
11,Molly,Martin,8853.22,1978-03-11,2016-10-16,Sales,Account Manager
12,Jessica,Chavez,8527.31,1994-12-02,2018-11-19,Marketing,SEO Analyst
13,Tammy,Mclean,4744.48,1989-08-03,2024-11-17,HR,HR Manager
14,Renee,Tran,3565.34,1961-01-08,2017-08-28,IT,DevOps Engineer
15,Amanda,Richmond,8273.13,1963-03-25,2020-11-02,Marketing,Social Media Manager
16,Courtney,Kemp,5373.15,1981-03-09,2016-02-29,IT,DevOps Engineer
17,Mark,Wyatt,5058.59,2000-01-07,2021-05-13,Sales,Account Manager
18,Troy,Stephens,6029.38,1959-08-31,2020-01-22,Sales,Account Manager
19,Cameron,James,9751.89,2002-08-28,2024-03-14,IT,DevOps Engineer
20,Raymond,Griffith,3312.04,1963-09-12,2020-08-28,Sales,Account Manager
21,Jason,Gonzales,3049.26,1982-09-29,2015-12-12,Marketing,Social Media Manager
22,Jennifer,Smith,4369.9,1973-08-25,2021-09-26,Marketing,SEO Analyst
23,Sandra,Watson,8378.85,1986-07-03,2020-06-01,Sales,Sales Executive
24,Jennifer,Rios,3235.13,2006-10-26,2019-06-13,HR,HR Manager
25,Seth,Sanchez,4182.53,1970-12-04,2015-02-16,Marketing,Social Media Manager
26,William,Williams,8640.37,1965-11-26,2023-04-11,HR,Recruitment Specialist
27,Dennis,Ray,6550.86,1968-05-10,2019-05-30,Marketing,Marketing Specialist
28,Cathy,Oconnor,7796.96,2001-02-27,2024-05-27,HR,HR Assistant
29,Luke,Flowers,8140.79,1989-03-30,2021-11-12,IT,Front-end Developer
30,Joseph,Garza,6956.53,1995-06-20,2015-08-26,Marketing,Marketing Specialist
31,Jamie,Durham,7730.92,1997-02-04,2017-01-07,Sales,Sales Executive
32,Jennifer,Patterson,8071.61,1974-07-26,2024-01-28,Marketing,Social Media Manager
33,Amanda,Hernandez,8316.33,1958-12-09,2016-12-21,Finance,Tax Consultant
34,Jessica,Barber,4961.23,1989-10-07,2021-09-28,Sales,Sales Executive
35,Elizabeth,Oliver,6116.67,1971-10-12,2016-11-22,Legal,Legal Advisor
36,Lauren,King,6062.71,1997-12-27,2022-05-15,Legal,Contract Specialist
37,Corey,Dennis,8666.61,1995-04-07,2021-10-06,Sales,Account Manager
